word,tbcl_level,cefr,category,zhuyin,pinyin,written_freq_per_million,spoken_freq_per_million
開水,4*,B1,餐飲、烹飪,ㄎㄞ ㄕㄨㄟˇ,kāi shuǐ,8,7
砍,4*,B1,自然環境,ㄎㄢˇ,kǎn,33,38
看不起,4*,B1,核心詞,ㄎㄢˋ  ㄅㄨˋ ㄑㄧˇ,kàn bù qǐ,9,5
看得起,4*,B1,核心詞,ㄎㄢˋ ˙ㄉㄜ ㄑㄧˇ,kàn de qǐ,2,1
看來,4*,B1,核心詞,ㄎㄢˋ ㄌㄞˊ,kàn lái,88,44
科系,4*,B1,教育、學習,ㄎㄜ ㄒㄧˋ,kē xì,7,7
可靠,4*,B1,核心詞,ㄎㄜˇ ㄎㄠˋ,kě kào,28,4
可笑,4*,B1,核心詞,ㄎㄜˇ ㄒㄧㄠˋ,kě xiào,21,0
客戶,4*,B1,購物、商店,ㄎㄜˋ ㄏㄨˋ,kè hù,86,30
課堂,4*,B1,教育、學習,ㄎㄜˋ ㄊㄤˊ,kè táng,24,16
客運,4*,B1,交通、旅遊,ㄎㄜˋ ㄩㄣˋ,kè yùn,3,2
肯,4*,B1,核心詞,ㄎㄣˇ,kěn,103,23
肯定,4*,B1,核心詞,ㄎㄣˇ ㄉㄧㄥˋ,kěn dìng,134,69
空中,4*,B1,自然環境,ㄎㄨㄥ ㄓㄨㄥ,kōng zhōng,36,28
口水,4*,B1,身體、醫療,ㄎㄡˇ ㄕㄨㄟˇ,kǒu shuǐ,15,6
扣子,4*,B1,購物、商店,ㄎㄡˋ ˙ㄗ,kòu zi,2,0
款式,4*,B1,核心詞,ㄎㄨㄢˇ ㄕˋ,kuǎn shì,6,4
拉鍊,4*,B1,購物、商店,ㄌㄚ ㄌㄧㄢˋ,lā liàn,2,0
來回,4*,B1,核心詞,ㄌㄞˊ ㄏㄨㄟˊ,lái huí,21,15
來源,4*,B1,核心詞,ㄌㄞˊ ㄩㄢˊ,lái yuán,59,71
懶得,4*,B1,核心詞,ㄌㄢˇ ˙ㄉㄜ,lǎn de,9,3
浪漫,4*,B1,休閒、娛樂,ㄌㄤˋ ㄇㄢˋ,làng màn,31,29
老年,4*,B1,社會,ㄌㄠˇ ㄋㄧㄢˊ,lǎo nián,15,8
樂觀,4*,B1,核心詞,ㄌㄜˋ ㄍㄨㄢ,lè guān,58,42
樂趣,4*,B1,核心詞,ㄌㄜˋ ㄑㄩˋ,lè qù,45,35
類型,4*,B1,核心詞,ㄌㄟˋ ㄒㄧㄥˊ,lèi xíng,68,17
冷門,4*,B1,購物、商店,ㄌㄥˇ ㄇㄣˊ,lěng mén,2,0
離婚,4*,B1,個人資料,ㄌㄧˊ ㄏㄨㄣ,lí hūn,44,22
理髮,4*,B1,日常起居,ㄌㄧˇ ㄈㄚˇ,lǐ fǎ,3,2
理想,4*,B1,個人資料,ㄌㄧˇ ㄒㄧㄤˇ,lǐ xiǎng,100,59
力氣,4*,B1,身體、醫療,ㄌㄧˋ ㄑㄧˋ,lì qì,38,25
例外,4*,B1,核心詞,ㄌㄧˋ ㄨㄞˋ,lì wài,34,5
連續,4*,B1,核心詞,ㄌㄧㄢˊ ㄒㄩˋ,lián xù,49,51
臉紅,4*,B1,情緒、態度,ㄌㄧㄢˇ ㄏㄨㄥˊ,liǎn hóng,9,1
戀愛,4*,B1,社交、人際,ㄌㄧㄢˋ ㄞˋ,liàn ài,20,9
良好,4*,B1,核心詞,ㄌㄧㄤˊ ㄏㄠˇ,liáng hǎo,74,32
了不起,4*,B1,社交、人際,ㄌㄧㄠˇ ㄅㄨˋ ㄑㄧˇ,liǎo bù qǐ,31,25
林,4*,B1,核心詞,ㄌㄧㄣˊ,lín,40,98
淋浴,4*,B1,日常起居,ㄌㄧㄣˊ ㄩˋ,lín yù,4,1
零食,4*,B1,餐飲、烹飪,ㄌㄧㄥˊ ㄕˊ,líng shí,5,14
留念,4*,B1,休閒、娛樂,ㄌㄧㄡˊ ㄋㄧㄢˋ,liú niàn,2,2
露營,4*,B1,休閒、娛樂,ㄌㄨˋ ㄧㄥˊ,lù yíng,5,3
論文,4*,B1,教育、學習,ㄌㄨㄣˋ ㄨㄣˊ,lùn wén,63,8
買單,4*,B1,核心詞,ㄇㄞˇ ㄉㄢ,mǎi dān,2,1
麥,4*,B1,餐飲、烹飪,ㄇㄞˋ,mài,10,17
賣座,4*,B1,休閒、娛樂,ㄇㄞˋ ㄗㄨㄛˋ,mài zuò,2,0
毛病,4*,B1,身體、醫療,ㄇㄠˊ ㄅㄧㄥˋ,máo bìng,37,9
貿易,4*,B1,職業,ㄇㄠˋ ㄧˋ,mào yì,47,35
美好,4*,B1,核心詞,ㄇㄟˇ ㄏㄠˇ,měi hǎo,68,46
美容院,4*,B1,日常起居,ㄇㄟˇ ㄖㄨㄥˊ ㄩㄢˋ,měi róng yuàn,2,2
美味,4*,B1,餐飲、烹飪,ㄇㄟˇ ㄨㄟˋ,měi wèi,18,29
門市,4*,B1,購物、商店,ㄇㄣˊ ㄕˋ,mén shì,3,2
迷人,4*,B1,核心詞,ㄇㄧˊ ㄖㄣˊ,mí rén,25,7
米飯,4*,B1,餐飲、烹飪,ㄇㄧˇ ㄈㄢˋ,mǐ fàn,6,10
米粉,4*,B1,餐飲、烹飪,ㄇㄧˇ ㄈㄣˇ,mǐ fěn,3,5
面,4*,B1,核心詞,ㄇㄧㄢˋ,miàn,142,113
面對,4*,B1,核心詞,ㄇㄧㄢˋ ㄉㄨㄟˋ,miàn duì,264,238
麵粉,4*,B1,餐飲、烹飪,ㄇㄧㄢˋ ㄈㄣˇ,miàn fěn,9,21
面談,4*,B1,職業,ㄇㄧㄢˋ ㄊㄢˊ,miàn tán,9,2
秒鐘,4*,B1,核心詞,ㄇㄧㄠˇㄓㄨㄥ,miǎozhōng,21,17
民間,4*,B1,社會,ㄇㄧㄣˊ ㄐㄧㄢ,mín jiān,63,46
民宿,4*,B1,交通、旅遊,ㄇㄧㄣˊ ㄙㄨˋ,mín sù,4,15
民眾,4*,B1,社會,ㄇㄧㄣˊ ㄓㄨㄥˋ,mín zhòng,59,327
民族,4*,B1,教育、學習,ㄇㄧㄣˊ ㄗㄨˊ,mín zú,99,69
名稱,4*,B1,核心詞,ㄇㄧㄥˊ ㄔㄥ,míng chēng,46,22
名叫,4*,B1,個人資料,ㄇㄧㄥˊ ㄐㄧㄠˋ,míng jiào,48,6
名牌,4*,B1,購物、商店,ㄇㄧㄥˊ ㄆㄞˊ,míng pái,9,8
明星,4*,B1,休閒、娛樂,ㄇㄧㄥˊ ㄒㄧㄥ,míng xīng,30,17
命令,4*,B1,核心詞,ㄇㄧㄥˋ ㄌㄧㄥˋ,mìng lìng,86,9
命運,4*,B1,核心詞,ㄇㄧㄥˋ ㄩㄣˋ,mìng yùn,70,44
末,4*,B1,核心詞,ㄇㄛˋ,mò,50,19
木,4*,B1,核心詞,ㄇㄨˋ,mù,36,40
目的地,4*,B1,交通、旅遊,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,mù dì dì,13,12
木頭,4*,B1,日常起居,ㄇㄨˋ ˙ㄊㄡ,mù tou,23,37
拿手,4*,B1,核心詞,ㄋㄚˊ ㄕㄡˇ,ná shǒu,6,4
耐心,4*,B1,職業,ㄋㄞˋ ㄒㄧㄣ,nài xīn,39,31
難道,4*,B1,核心詞,ㄋㄢˊ ㄉㄠˋ,nán dào,90,45
難得,4*,B1,核心詞,ㄋㄢˊ ㄉㄜˊ,nán dé,32,49
難怪,4*,B1,核心詞,ㄋㄢˊ ㄍㄨㄞˋ,nán guài,30,34
男士,4*,B1,核心詞,ㄋㄢˊ ㄕˋ,nán shì,16,3
難忘,4*,B1,情緒、態度,ㄋㄢˊ ㄨㄤˋ,nán wàng,15,11
男子,4*,B1,核心詞,ㄋㄢˊ ㄗˇ,nán zǐ,52,12
腦袋,4*,B1,身體、醫療,ㄋㄠˇ ㄉㄞˋ,nǎo dài,48,16
內褲,4*,B1,購物、商店,ㄋㄟˋㄎㄨˋ,nèi kù,5,2
內心,4*,B1,核心詞,ㄋㄟˋ ㄒㄧㄣ,nèi xīn,113,62
內衣,4*,B1,購物、商店,ㄋㄟˋ ㄧ,nèi yī,6,2
膩,4*,B1,餐飲、烹飪,ㄋㄧˋ,nì,7,8
年代,4*,B1,核心詞,ㄋㄧㄢˊ ㄉㄞˋ,nián dài,50,83
年糕,4*,B1,餐飲、烹飪,ㄋㄧㄢˊ ㄍㄠ,nián gāo,2,6
寧可,4*,B1,核心詞,ㄋㄧㄥˊ ㄎㄜˇ,níng kě,23,6
檸檬,4*,B1,餐飲、烹飪,ㄋㄧㄥˊ ㄇㄥˊ,níng méng,7,12
寧願,4*,B1,核心詞,ㄋㄧㄥˊ ㄩㄢˋ,níng yuàn,18,10
農藥,4*,B1,自然環境,ㄋㄨㄥˊ ㄧㄠˋ,nóng yào,4,162
弄錯,4*,B1,核心詞,ㄋㄨㄥˋ ㄘㄨㄛˋ,nòng cuò,7,2
暖和,4*,B1,交通、旅遊,ㄋㄨㄢˇ ˙ㄏㄨㄛ,nuǎn huo,7,4
女士,4*,B1,核心詞,ㄋㄩˇ ㄕˋ,nǚ shì,82,19
女子,4*,B1,核心詞,ㄋㄩˇ ㄗˇ,nǚ zǐ,82,14
偶爾/偶而,4*,B1,核心詞,ㄡˇ ㄦˇ/ㄡˇ ㄦˊ,ǒu ěr/ǒu ér,73,38
拍手,4*,B1,核心詞,ㄆㄞ ㄕㄡˇ,pāi shǒu,7,7
排球,4*,B1,休閒、娛樂,ㄆㄞˊ ㄑㄧㄡˊ,pái qiú,2,1
配合,4*,B1,核心詞,ㄆㄟˋ ㄏㄜˊ,pèi hé,66,73
碰面,4*,B1,社交、人際,ㄆㄥˋ ㄇㄧㄢˋ,pèng miàn,12,4
匹1,4*,B1,核心詞,ㄆㄧ,pī,42,12
批評,4*,B1,核心詞,ㄆㄧ ㄆㄧㄥˊ,pī píng,86,25
皮帶,4*,B1,日常起居,ㄆㄧˊ ㄉㄞˋ,pí dài,8,6
脾氣,4*,B1,個人資料,ㄆㄧˊ ㄑㄧˋ,pí qì,35,22
騙人,4*,B1,安全,ㄆㄧㄢˋ ㄖㄣˊ,piàn rén,6,6
騙子,4*,B1,安全,ㄆㄧㄢˋ ˙ㄗ,piàn zi,9,3
品牌,4*,B1,購物、商店,ㄆㄧㄣˇ ㄆㄞˊ,pǐn pái,104,29
乒乓球,4*,B1,休閒、娛樂,ㄆㄧㄥ ㄆㄤ ㄑㄧㄡˊ,pīng pāng qiú,2,2
平,4*,B1,核心詞,ㄆㄧㄥˊ,píng,18,48
平靜,4*,B1,核心詞,ㄆㄧㄥˊ ㄐㄧㄥˋ,píng jìng,53,30
婆婆,4*,B1,個人資料,ㄆㄛˊ ˙ㄆㄛ,pó po,34,46
妻子/妻,4*,B1,個人資料,ㄑㄧ ˙ㄗ / ㄑㄧ,qī zi / qī,196,29
期待,4*,B1,核心詞,ㄑㄧˊ ㄉㄞˋ,qí dài,92,110
期間,4*,B1,核心詞,ㄑㄧˊ ㄐㄧㄢ,qí jiān,110,72
期望,4*,B1,核心詞,ㄑㄧˊ ㄨㄤˋ,qí wàng,51,36
旗子,4*,B1,日常起居,ㄑㄧˊ ˙ㄗ,qí zi,3,5
氣氛,4*,B1,核心詞,ㄑㄧˋ ㄈㄣ,qì fēn,61,48
氣功,4*,B1,文化,ㄑㄧˋ ㄍㄨㄥ,qì gōng,6,3
氣象,4*,B1,交通、旅遊,ㄑㄧˋ ㄒㄧㄤˋ,qì xiàng,10,63
企業,4*,B1,職業,ㄑㄧˋ ㄧㄝˋ,qì yè,310,61
千萬,4*,B1,核心詞,ㄑㄧㄢ ㄨㄢˋ,qiān wàn,59,48
前進,4*,B1,核心詞,ㄑㄧㄢˊ ㄐㄧㄣˋ,qián jìn,62,32
強大,4*,B1,核心詞,ㄑㄧㄤˊ ㄉㄚˋ,qiáng dà,52,24
敲,4*,B1,核心詞,ㄑㄧㄠ,qiāo,34,18
親愛,4*,B1,核心詞,ㄑㄧㄣ ㄞˋ,qīn ài,44,11
親密,4*,B1,社交、人際,ㄑㄧㄣ ㄇㄧˋ,qīn mì,46,10
親人,4*,B1,個人資料,ㄑㄧㄣ ㄖㄣˊ,qīn rén,23,34
清,4*,B1,核心詞,ㄑㄧㄥ,qīng,114,56
輕便,4*,B1,,ㄑㄧㄥ ㄅㄧㄢˋ,qīng biàn,3,2
青年,4*,B1,社會,ㄑㄧㄥ ㄋㄧㄢˊ,qīng nián,77,68
清早,4*,B1,核心詞,ㄑㄧㄥ ㄗㄠˇ,qīng zǎo,5,2
請教,4*,B1,核心詞,ㄑㄧㄥˇ ㄐㄧㄠˋ,qǐng jiào,23,70
求,4*,B1,核心詞,ㄑㄧㄡˊ,qiú,110,79
區域,4*,B1,日常起居,ㄑㄩ ㄩˋ,qū yù,57,96
取,4*,B1,核心詞,ㄑㄩˇ,qǔ,84,68
勸,4*,B1,核心詞,ㄑㄩㄢˋ,quàn,45,13
缺點,4*,B1,核心詞,ㄑㄩㄝ ㄉㄧㄢˇ,quē diǎn,40,19
熱量,4*,B1,餐飲、烹飪,ㄖㄜˋ ㄌㄧㄤˋ,rè liàng,11,31
人家1,4*,B1,日常起居,ㄖㄣˊ ㄐㄧㄚ,rén jiā,110,436
人類,4*,B1,核心詞,ㄖㄣˊ ㄌㄟˋ,rén lèi,292,279
人們,4*,B1,核心詞,ㄖㄣˊ ˙ㄇㄣ,rén men,311,70
人民,4*,B1,個人資料,ㄖㄣˊ ㄇㄧㄣˊ,rén mín,114,126
人生,4*,B1,核心詞,ㄖㄣˊ ㄕㄥ,rén shēng,261,271
忍,4*,B1,核心詞,ㄖㄣˇ,rěn,25,21
認得,4*,B1,核心詞,ㄖㄣˋ ˙ㄉㄜ,rèn de,20,7
任何,4*,B1,核心詞,ㄖㄣˋ ㄏㄜˊ,rèn hé,510,214
任務,4*,B1,核心詞,ㄖㄣˋ ㄨˋ,rèn wù,90,92
扔,4*,B1,核心詞,ㄖㄥ,rēng,14,4
日常,4*,B1,核心詞,ㄖˋ ㄔㄤˊ,rì cháng,79,53
日出,4*,B1,核心詞,ㄖˋ ㄔㄨ,rì chū,7,7
肉類,4*,B1,餐飲、烹飪,ㄖㄡˋㄌㄟˋ,ròu lèi,5,8
如今,4*,B1,核心詞,ㄖㄨˊ ㄐㄧㄣ,rú jīn,121,77
入,4*,B1,核心詞,ㄖㄨˋ,rù,106,119
入境,4*,B1,交通、旅遊,ㄖㄨˋ ㄐㄧㄥˋ,rù jìng,4,12
弱,4*,B1,核心詞,ㄖㄨㄛˋ,ruò,39,29
若是,4*,B1,核心詞,ㄖㄨㄛˋ ㄕˋ,ruò shì,68,13
賽跑,4*,B1,休閒、娛樂,ㄙㄞˋ ㄆㄠˇ,sài pǎo,6,7
三角形,4*,B1,核心詞,ㄙㄢ ㄐㄧㄠˇ ㄒㄧㄥˊ,sān jiǎo xíng,9,6
嫂嫂,4*,B1,核心詞,ㄙㄠˇ ˙ㄙㄠ,sǎo sao,7,2
掃把,4*,B1,日常起居,ㄙㄠˋ ㄅㄚˇ,sào bǎ,4,7
色彩,4*,B1,核心詞,ㄙㄜˋ ㄘㄞˇ,sè cǎi,40,32
沙,4*,B1,核心詞,ㄕㄚ,shā,25,53
沙灘,4*,B1,休閒、娛樂,ㄕㄚ ㄊㄢ,shā tān,13,17
沙子,4*,B1,自然環境,ㄕㄚ ˙ㄗ,shā zi,6,17
傷害,4*,B1,安全,ㄕㄤ ㄏㄞˋ,shāng hài,99,93
傷心,4*,B1,核心詞,ㄕㄤ ㄒㄧㄣ,shāng xīn,39,23
上街,4*,B1,核心詞,ㄕㄤˋ ㄐㄧㄝ,shàng jiē,5,8
少年,4*,B1,個人資料,ㄕㄠˋ ㄋㄧㄢˊ,shào nián,62,15
少女,4*,B1,個人資料,ㄕㄠˋ ㄋㄩˇ,shào nǚ,33,7
設計,4*,B1,職業,ㄕㄜˋ ㄐㄧˋ,shè jì,269,206
社區,4*,B1,教育、學習,ㄕㄜˋ ㄑㄩ,shè qū,122,243
身,4*,B1,身體、醫療,ㄕㄣ,shēn,456,280
伸,4*,B1,身體、醫療,ㄕㄣ,shēn,22,7
身材,4*,B1,身體、醫療,ㄕㄣ ㄘㄞˊ,shēn cái,33,10
身分/身份,4*,B1,職業,ㄕㄣ ㄈㄣˋ,shēn fèn,84,45
深刻,4*,B1,核心詞,ㄕㄣ ㄎㄜˋ,shēn kè,65,80
深夜,4*,B1,核心詞,ㄕㄣ ㄧㄝˋ,shēn yè,19,6
甚至,4*,B1,核心詞,ㄕㄣˋ ㄓˋ,shèn zhì,491,370
生產,4*,B1,職業,ㄕㄥ ㄔㄢˇ,shēng chǎn,125,164
升級,4*,B1,職業,ㄕㄥ ㄐㄧˊ,shēng jí,6,5
生命,4*,B1,核心詞,ㄕㄥ ㄇㄧㄥˋ,shēng mìng,381,370
生肖,4*,B1,核心詞,ㄕㄥ ㄒㄧㄠˋ,shēng xiào,2,3
生長,4*,B1,自然環境,ㄕㄥ ㄓㄤˇ,shēng zhǎng,42,124
勝利,4*,B1,休閒、娛樂,ㄕㄥˋ ㄌㄧˋ,shèng lì,60,10
失戀,4*,B1,社交、人際,ㄕ ㄌㄧㄢˋ,shī liàn,5,2
失望,4*,B1,情緒、態度,ㄕ ㄨㄤˋ,shī wàng,52,24
時代,4*,B1,核心詞,ㄕˊ ㄉㄞˋ,shí dài,275,151
實際,4*,B1,教育、學習,ㄕˊ ㄐㄧˋ,shí jì,190,197
時期,4*,B1,核心詞,ㄕˊ ㄑㄧˊ,shí qí,149,105
實現,4*,B1,教育、學習,ㄕˊ ㄒㄧㄢˋ,shí xiàn,91,34
實用,4*,B1,核心詞,ㄕˊ ㄩㄥˋ,shí yòng,27,21
適當,4*,B1,核心詞,ㄕˋ ㄉㄤˋ,shì dàng,77,35
室內,4*,B1,日常起居,ㄕˋ ㄋㄟˋ,shì nèi,0,0
室外,4*,B1,日常起居,ㄕˋ ㄨㄞˋ,shì wài,0,0
事業,4*,B1,職業,ㄕˋ ㄧㄝˋ,shì yè,130,64
適應,4*,B1,核心詞,ㄕˋ ㄧㄥˋ,shì yìng,70,56
收費,4*,B1,日常起居,ㄕㄡ ㄈㄟˋ,shōu fèi,6,6
收集,4*,B1,教育、學習,ㄕㄡ ㄐㄧˊ,shōu jí,25,66
熟悉,4*,B1,核心詞,ㄕㄡˊ ㄒㄧ,shóu xī,77,53
首,4*,B1,核心詞,ㄕㄡˇ,shǒu,143,113
手術,4*,B1,身體、醫療,ㄕㄡˇ ㄕㄨˋ,shǒu shù,53,61
受得了,4*,B1,核心詞,ㄕㄡˋ ˙ㄉㄜ ㄌㄧㄠˇ,shòu de liǎo,3,3
受騙,4*,B1,安全,ㄕㄡˋ ㄆㄧㄢˋ,shòu piàn,5,2
梳子,4*,B1,日常起居,ㄕㄨ ˙ㄗ,shū zi,5,0
叔父,4*,B1,個人資料,ㄕㄨˊ ㄈㄨˋ,shú fù,10,0
數學,4*,B1,教育、學習,ㄕㄨˋ ㄒㄩㄝˊ,shù xué,76,41
帥哥,4*,B1,核心詞,ㄕㄨㄞˋ ㄍㄜ,shuài gē,3,3
雙方,4*,B1,社會,ㄕㄨㄤ ㄈㄤ,shuāng fāng,81,65
睡眠,4*,B1,身體、醫療,ㄕㄨㄟˋ ㄇㄧㄢˊ,shuì mián,71,40
說不定,4*,B1,核心詞,ㄕㄨㄛ ㄅㄨˊ ㄉㄧㄥˋ,shuō bú dìng,47,28
絲,4*,B1,核心詞,ㄙ,sī,60,34
思考,4*,B1,核心詞,ㄙ ㄎㄠˇ,sī kǎo,257,99
死亡,4*,B1,身體、醫療,ㄙˇ ㄨㄤˊ,sǐ wáng,118,151
四處,4*,B1,核心詞,ㄙˋ ㄔㄨˋ,sì chù,49,26
四周,4*,B1,核心詞,ㄙˋ ㄓㄡ,sì zhōu,53,17
蒜,4*,B1,餐飲、烹飪,ㄙㄨㄢˋ,suàn,4,7
算了,4*,B1,核心詞,ㄙㄨㄢˋ ˙ㄌㄜ,suàn le,20,17
算是,4*,B1,核心詞,ㄙㄨㄢˋ ㄕˋ,suàn shì,79,122
縮水,4*,B1,購物、商店,ㄙㄨㄛ ㄕㄨㄟˇ,suō shuǐ,2,4
抬/擡,4*,B1,核心詞,ㄊㄞˊ,tái,36,25
太極拳,4*,B1,休閒、娛樂,ㄊㄞˋ ㄐㄧˊ ㄑㄩㄢˊ,tài jí quán,2,4
攤販,4*,B1,購物、商店,ㄊㄢ ㄈㄢˋ,tān fàn,4,7
攤位,4*,B1,購物、商店,ㄊㄢ ㄨㄟˋ,tān wèi,6,10
彈,4*,B1,休閒、娛樂,ㄊㄢˊ,tán,49,31
談戀愛,4*,B1,社交、人際,ㄊㄢˊ ㄌㄧㄢˋ ㄞˋ,tán liàn ài,6,7
湯圓,4*,B1,餐飲、烹飪,ㄊㄤ ㄩㄢˊ,tāng yuán,4,8
逃,4*,B1,安全,ㄊㄠˊ,táo,37,16
特點,4*,B1,核心詞,ㄊㄜˋ ㄉㄧㄢˇ,tè diǎn,22,12
特性,4*,B1,核心詞,ㄊㄜˋ ㄒㄧㄥˋ,tè xìng,47,43
疼,4*,B1,核心詞,ㄊㄥˊ,téng,16,23
梯子,4*,B1,日常起居,ㄊㄧ ˙ㄗ,tī zi,6,1
提高,4*,B1,核心詞,ㄊㄧˊ ㄍㄠ,tí gāo,81,61
提供,4*,B1,核心詞,ㄊㄧˊ ㄍㄨㄥ,tí gōng,279,186
體重,4*,B1,身體、醫療,ㄊㄧˇ ㄓㄨㄥˋ,tǐ zhòng,45,26
天空,4*,B1,自然環境,ㄊㄧㄢ ㄎㄨㄥ,tiān kōng,63,25
天生,4*,B1,核心詞,ㄊㄧㄢ ㄕㄥ,tiān shēng,49,19
田,4*,B1,核心詞,ㄊㄧㄢˊ,tián,53,307
調整,4*,B1,核心詞,ㄊㄧㄠˊ ㄓㄥˇ,tiáo zhěng,73,55
挑戰,4*,B1,核心詞,ㄊㄧㄠˇ ㄓㄢˋ,tiǎo zhàn,123,101
鐵,4*,B1,核心詞,ㄊㄧㄝˇ,tiě,42,50
聽話,4*,B1,核心詞,ㄊㄧㄥ ㄏㄨㄚˋ,tīng huà,18,5
通,4*,B1,核心詞,ㄊㄨㄥ,tōng,62,39
童年,4*,B1,個人資料,ㄊㄨㄥˊ ㄋㄧㄢˊ,tóng nián,50,28
同情,4*,B1,核心詞,ㄊㄨㄥˊ ㄑㄧㄥˊ,tóng qíng,47,7
統一,4*,B1,教育、學習,ㄊㄨㄥˇ ㄧ,tǒng yī,60,28
投資,4*,B1,職業,ㄊㄡˊ ㄗ,tóu zī,118,57
圖畫,4*,B1,核心詞,ㄊㄨˊ ㄏㄨㄚˋ,tú huà,10,5
圖書,4*,B1,教育、學習,ㄊㄨˊ ㄕㄨ,tú shū,21,4
吐2,4*,B1,核心詞,ㄊㄨˇ,tǔ,45,26
吐1,4*,B1,核心詞,ㄊㄨˋ,tù,45,26
兔子/兔,4*,B1,個人資料,ㄊㄨˋ ˙ㄗ/ㄊㄨˋ,tù zi/tù,32,10
團,4*,B1,核心詞,ㄊㄨㄢˊ,tuán,51,30
團隊,4*,B1,職業,ㄊㄨㄢˊ ㄉㄨㄟˋ,tuán duì,73,96
推動,4*,B1,職業,ㄊㄨㄟ ㄉㄨㄥˋ,tuī dòng,55,98
退,4*,B1,購物、商店,ㄊㄨㄟˋ,tuì,43,40
挖,4*,B1,核心詞,ㄨㄚ,wā,38,58
娃娃,4*,B1,核心詞,ㄨㄚˊ ˙ㄨㄚ,wá wa,19,23
外表,4*,B1,個人資料,ㄨㄞˋ ㄅㄧㄠˇ,wài biǎo,33,17
完成,4*,B1,核心詞,ㄨㄢˊ ㄔㄥˊ,wán chéng,205,193
完美,4*,B1,核心詞,ㄨㄢˊ ㄇㄟˇ,wán měi,67,35
完整,4*,B1,核心詞,ㄨㄢˊ ㄓㄥˇ,wán zhěng,69,69
王,4*,B1,文化,ㄨㄤˊ,wáng,111,79
往往,4*,B1,核心詞,ㄨㄤˇ ㄨㄤˇ,wǎng wǎng,165,52
危機,4*,B1,核心詞,ㄨㄟˊ ㄐㄧ,wéi jī,78,153
微笑,4*,B1,核心詞,ㄨㄟˊ ㄒㄧㄠˋ,wéi xiào,92,23
餵,4*,B1,日常起居,ㄨㄟˋ,wèi,41,39
為1,4*,B1,核心詞,ㄨㄟˋ,wèi,2687,1519
位置,4*,B1,日常起居,ㄨㄟˋ ㄓˋ,wèi zhì,110,128
溫,4*,B1,核心詞,ㄨㄣ,wēn,10,46
文件,4*,B1,教育、學習,ㄨㄣˊ ㄐㄧㄢˋ,wén jiàn,50,8
文學,4*,B1,教育、學習,ㄨㄣˊ ㄒㄩㄝˊ,wén xué,100,22
穩定,4*,B1,身體、醫療,ㄨㄣˇ ㄉㄧㄥˋ,wěn dìng,74,124
問號,4*,B1,教育、學習,ㄨㄣˋ ㄏㄠˋ,wèn hào,3,3
握,4*,B1,核心詞,ㄨㄛˋ,wò,46,13
握手,4*,B1,社交、人際,ㄨㄛˋ ㄕㄡˇ,wò shǒu,18,9
誤點,4*,B1,交通、旅遊,ㄨˋ ㄉㄧㄢˇ,wù diǎn,2,1
吸,4*,B1,餐飲、烹飪,ㄒㄧ,xī,36,34
吸收,4*,B1,身體、醫療,ㄒㄧ ㄕㄡ,xī shōu,39,81
吸菸,4*,B1,日常起居,ㄒㄧ ㄧㄢ,xī yān,6,2
西元,4*,B1,核心詞,ㄒㄧ ㄩㄢˊ,xī yuán,47,55
西裝,4*,B1,購物、商店,ㄒㄧ ㄓㄨㄤ,xī zhuāng,17,7
喜酒,4*,B1,文化,ㄒㄧˇ ㄐㄧㄡˇ,xǐ jiǔ,2,2
喜事,4*,B1,文化,ㄒㄧˇ ㄕˋ,xǐ shì,4,1
喜帖,4*,B1,文化,ㄒㄧˇ ㄊㄧㄝˇ,xǐ tiě,1,2
下棋,4*,B1,休閒、娛樂,ㄒㄧㄚˋ ㄑㄧˊ,xià qí,9,7
嚇一跳,4*,B1,情緒、態度,ㄒㄧㄚˋ ㄧˊ ㄊㄧㄠˋ,xià yí tiào,5,4
現場,4*,B1,安全,ㄒㄧㄢˋ ㄔㄤˇ,xiàn chǎng,49,166
現實,4*,B1,核心詞,ㄒㄧㄢˋ ㄕˊ,xiàn shí,121,29
現象,4*,B1,核心詞,ㄒㄧㄢˋ ㄒㄧㄤˋ,xiàn xiàng,188,161
限制/限,4*,B1,核心詞,ㄒㄧㄢˋ ㄓˋ/ㄒㄧㄢˋ,xiàn zhì/xiàn,85,58
相處,4*,B1,社交、人際,ㄒㄧㄤ ㄔㄨˇ,xiāng chǔ,59,69
鄉村,4*,B1,日常起居,ㄒㄧㄤ ㄘㄨㄣ,xiāng cūn,17,18
相關,4*,B1,核心詞,ㄒㄧㄤ ㄍㄨㄢ,xiāng guān,145,76
詳細,4*,B1,核心詞,ㄒㄧㄤˊ ㄒㄧˋ,xiáng xì,51,28
響,4*,B1,日常起居,ㄒㄧㄤˇ,xiǎng,56,21
想像力,4*,B1,核心詞,ㄒㄧㄤˇ ㄒㄧㄤˋ ㄌㄧˋ,xiǎng xiàng lì,29,7
消失,4*,B1,核心詞,ㄒㄧㄠ ㄕ,xiāo shī,109,68
曉得,4*,B1,核心詞,ㄒㄧㄠˇ ˙ㄉㄜ,xiǎo de,79,107
小販,4*,B1,購物、商店,ㄒㄧㄠˇ ㄈㄢˋ,xiǎo fàn,6,3
小氣,4*,B1,核心詞,ㄒㄧㄠˇ ㄑㄧˋ,xiǎo qì,3,3
